iter	Passed	Remaining
774	8710	2528
775	8722	2517
776	8731	2506
777	8744	2495
778	8756	2484
779	8767	2472
780	8775	2460
781	8788	2450
782	8797	2438
783	8807	2426
784	8818	2415
785	8827	2403
786	8838	2392
787	8850	2381
788	8860	2369
789	8871	2358
790	8884	2347
791	8893	2335
792	8903	2324
793	8915	2313
794	8924	2301
795	8934	2289
796	8946	2278
797	8955	2266
798	8967	2255
799	8978	2244
800	8987	2232
801	8999	2221
802	9009	2210
803	9019	2198
804	9031	2187
805	9042	2176
806	9051	2164
807	9065	2154
808	9077	2143
809	9087	2131
810	9097	2120
811	9109	2109
812	9120	2097
813	9132	2086
814	9143	2075
815	9152	2063
816	9164	2052
817	9176	2041
818	9184	2029
819	9194	2018
820	9205	2006
821	9213	1995
822	9226	1984
823	9237	1973
824	9246	1961
825	9259	1950
826	9272	1939
827	9281	1928
828	9291	1916
829	9305	1906
830	9315	1894
831	9326	1883
832	9337	1871
833	9347	1860
834	9359	1849
835	9373	1838
836	9386	1827
837	9396	1816
838	9407	1805
839	9419	1794
840	9428	1782
841	9439	1771
842	9451	1760
843	9460	1748
844	9473	1737
845	9483	1726
846	9493	1714
847	9505	1703
848	9518	1692
849	9527	1681
850	9537	1669
851	9550	1659
852	9561	1647
853	9572	1636
854	9582	1625
855	9595	1614
856	9605	1602
857	9618	1591
858	9631	1580
859	9645	1570
860	9654	1558
861	9666	1547
862	9678	1536
863	9687	1524
864	9700	1513
865	9713	1502
866	9725	1491
867	9734	1480
868	9747	1469
869	9759	1458
870	9768	1446
871	9780	1435
872	9792	1424
873	9801	1413
874	9813	1401
875	9825	1390
876	9835	1379
877	9847	1368
878	9859	1357
879	9868	1345
880	9879	1334
881	9892	1323
882	9901	1311
883	9911	1300
884	9924	1289
885	9938	1278
886	9947	1267
887	9959	1256
888	9971	1245
889	9980	1233
890	9993	1222
891	10006	1211
892	10017	1200
893	10026	1188
894	10038	1177
895	10046	1166
896	10057	1154
897	10069	1143
898	10081	1132
899	10091	1121
900	10103	1110
901	10114	1098
902	10123	1087
903	10135	1076
904	10149	1065
905	10159	1054
906	10170	1042
907	10185	1032
908	10199	1021
909	10209	1009
910	10218	998
911	10231	987
912	10243	976
913	10253	964
914	10265	953
915	10278	942
916	10290	931
917	10300	920
918	10311	908
919	10323	897
920	10332	886
921	10345	875
922	10357	864
923	10366	852
924	10378	841
925	10394	830
926	10408	819
927	10416	808
928	10427	796
929	10442	785
930	10455	774
931	10463	763
932	10475	752
933	10487	741
934	10498	729
935	10510	718
936	10524	707
937	10538	696
938	10547	685
939	10559	673
940	10571	662
941	10585	651
942	10594	640
943	10606	629
944	10618	618
945	10627	606
946	10638	595
947	10651	584
948	10663	573
949	10674	561
950	10687	550
951	10699	539
952	10709	528
953	10721	516
954	10733	505
955	10743	494
956	10753	483
957	10767	472
958	10781	460
959	10794	449
960	10803	438
961	10816	427
962	10830	416
963	10844	404
964	10853	393
965	10868	382
